PubName,Longitude,Latitude
"The Railway Tavern",-1.512656,51.414779
"The Windmill Tavern",0.3727853,51.435704
"Riverside Tavern",-2.9928674,51.5908646
"The Whitehill Tavern",0.3793307,51.4244858
"Market Tavern",-1.4305575,53.2357406
"Rosehill Tavern",-2.0176056,52.5566108
"The Railway Tavern",-0.17465,51.650097
"Lyceum Tavern",-3.0021907,51.6004385
"Railway Tavern",-0.2594853,51.6166359
"Red Bridge Tavern",-2.3758027,53.5868811
"Bootham Tavern",-1.085875,53.9633667
"Swanholme Tavern",-0.5951522,53.2033739
"The Market Tavern",-1.5936492,55.1311059
"Market Tavern",-2.6315129,53.6535713
"Crow Tavern",-4.2256998,55.9036217
"The Blackweir Tavern",-3.1893534,51.4929233
"Clinkers Tavern",-1.1836956,50.853293
"Floods Tavern",-0.0763994,52.3248364
"Avonmouth Tavern",-2.6970411,51.4981953
"Squirrel Tavern",-0.1656058,51.9045025
"Cock Tavern",-0.1026986,51.51878
"Netherfield Tavern",-0.7337957,52.0221382
"Partick Tavern",-4.3006817,55.8705625
"The Windsor Tavern",-4.3119327,55.8706205
"The Bedford Tavern",-0.0950731,51.3787975
"California Tavern",1.7227483,52.6718274
"Grove Tavern",-1.3777662,50.8915942
"Railway Tavern",-3.0069901,56.470133
"Mr Grundy's Tavern",-1.4928989,52.9259126
"Downham Tavern",0.013202,51.4272549
"Telscombe Tavern",-0.0187049,50.7947171
"Rye Vale Tavern",-6.4924987,53.3633402
"The Fountain Tavern",-4.5815609,55.9877931
"Westbury Tavern",-2.2250222,52.9841118
"Grove Tavern",0.2626759,51.1273036
"The Tavern",-2.4076552,53.7868595
"The Dolphin Tavern",-0.117691,51.519968
"Bennetts Navy Tavern",-4.9773784,51.9934213
"Railway Tavern",-0.0754802,51.5482785
"Sweet Green Tavern",-2.4282651,53.5738145
"Harp Tavern",-8.4766331,54.2736593
"Round Green Tavern",-0.4012675,51.8918848
"The Hill Tavern",-2.1095928,52.4165731
"Church Tavern",-2.1045756,52.4726352
"The Tollgate Tavern",0.0580053,51.5144504
"Smiths Tavern",-1.73197,53.0175369
"The London Tavern",1.0168758,52.5179697
"Thatched House Tavern",-2.0077318,52.6165982
"The Peters Square Tavern",-2.159377,53.409206
"Holden's Lamp Tavern",-1.9990413,52.6115204
"Greenrock Tavern",-1.9877575,52.6177469
"The Dolphin Tavern",-5.5309671,50.1159981
"Market Tavern",-2.0775554,52.5653416
"Cramond Tavern",-4.1589773,55.8542678
"Thistle Tavern",-4.1271747,50.3673979
"Lamb Tavern",-0.0834132,51.5127691
"Cottage Tavern",-1.556847,52.216726
"Tandle Hill Tavern",-2.1543502,53.5784155
"Park Tavern",-2.171519,52.4928658
"Spylaw Tavern",-3.2582348,55.9076779
"The Chester Tavern",-2.2337711,52.3877286
"Auld Toll Tavern",-3.7448942,56.0182267
"Toll Bridge Tavern",-7.3136685,52.3317346
"Railway Tavern",0.3571736,51.3855603
"Railway Tavern",0.3001218,51.3986907
"The Tavern",-1.8528549,52.9635132
"The Garden City Tavern",-1.4699669,52.9340415
"The Shoemakers Tavern",-0.9030538,52.2396394
"Deacon Brodie's Tavern",-3.1929479,55.9495501
"The County Tavern",-4.4256659,57.5950836
"Royal Pavilion Tavern",-0.138525,50.8215287
"Market Tavern",-1.5753242,54.8585639
"Tavern Inn the Town",-2.977422,51.347459
"Tavernfayre",-2.4809462,53.5597607
"Lea Cross Tavern",-2.8580974,52.6687399
"Railway Tavern",1.08091,52.3296538
"Station Tavern",-0.7243865,54.4359721
"Railway Tavern",-1.3285992,53.01926
"Castle Tavern",-8.3896207,51.9282517
"Royal Oak Tavern",-6.9853051,52.7022588
"Victoria Tavern",-4.4775742,54.1491206
"Cock Tavern",-6.0664186,53.3870791
"Freehold Tavern",-1.5771361,52.7852142
"Market Tavern",-3.8061469,51.6631804
"The Links Tavern",-3.1595815,55.9696466
"The Market Tavern",-1.1345621,52.6340777
"The Tavern",-1.4977642,50.9890795
"The Rossall Tavern",-3.0444596,53.9074149
"The Longlands Tavern",-2.153937,52.453399
"Lakelands Tavern",-8.4030883,51.8939599
"Tom's Tavern",-10.2315405,51.9443986
"The Castle Tavern",0.0614609,51.4928826
"The Braehead Tavern",-4.4283698,55.8877769
"Circus Tavern",0.2463533,51.4858856
"Magnet Tavern",-0.0233359,52.9757983
"The Railway Tavern",-1.978823,52.6683868
"Frehill's Tavern",-6.3131287,53.3195164
"The Eagle Tavern",-1.4466749,53.0508025
"The Grapes Tavern",-2.716249,52.055997
"The Tavern",-1.4845985,53.0180211
"Old Moor Tavern",-1.368871,53.5213736
"The Tavern",-1.3947487,53.5109979
"The Strand Tavern",-6.933124,52.2211419
"Traders Tavern",-3.1723475,51.479762
"The Albert Tavern",-0.0662925,51.3973962
"The Lodge Tavern",-0.2995294,51.513793
"Stonewell Tavern",-2.7989803,54.0496092
"Turf Tavern",-1.3884197,53.3716961
"The Stocks Tavern",-2.7686779,53.5873017
"Morgan Tavern",-3.3411033,51.5998926
"Railway Tavern",-0.0575427,51.6248503
"Tavern At The Mill",-3.0125164,53.874409
"Ark Tavern",-1.3972184,53.2567301
"The market Tavern",-1.26363,53.1239195
"Park Tavern",-0.7774557,50.8387541
"The Gill Tavern",-8.483352,51.8937713
"The Welcome Tavern",-1.4704469,53.0211712
"Beacon Court Tavern",0.5448777,51.3836764
"The Eagle Tavern",0.060768,51.4723219
"Railway Tavern",-1.4650113,52.525378
"The Market Tavern",-1.1490188,50.8034222
"Woodside Tavern",-1.6188788,53.8367896
"Unicorn Tavern",-1.4395396,53.2330955
"Pall Tavern",-2.6314117,50.9425862
"Market Tavern",-3.0842928,51.7731242
"The Park Tavern",-2.1284757,53.2537613
"The Market Tavern",-8.4653819,51.8951707
"Tavern",-3.0982419,53.1823474
"The Triangle Tavern",1.754884,52.4805745
"Railway Tavern",0.1126225,53.2824249
"Tivoli Tavern",-0.0880822,53.5647285
"Dame Tavern",-6.263866,53.3437674
"The Ferry Tavern",-2.6576274,53.3751303
"The Bureau (Royal Tavern)",-2.7397587,53.4534079
"Forest Tavern",-1.2581208,53.0777844
"The Pierhead Tavern",-5.1257599,55.5350564
"The Pimlico Tavern",-6.280709,53.34013
"Lighthouse Tavern",-7.6407172,55.2701503
"The Bridge Tavern",-6.2489314,53.3573225
"The Bridge Tavern",-1.6075429,54.9694155
"Aidie Farrell's Swan Tavern",-7.9883263,53.6722108
"Windmill Tavern",-4.0778069,55.8313919
"Old Nick's Tavern",-0.1143177,53.2091749
"The Thatched Tavern",-0.643695,51.4168819
"The Volunteer Tavern",-2.5820574,51.4576752
"Trent Tavern",-2.1486005,53.0205026
"The Belle Vue Tavern",1.3916921,51.3271739
"Simpson's Tavern",-0.0860401,51.5130866
"The Portwall Tavern",-2.5896234,51.4494867
"The Air Ballon Tavern",-2.5329477,51.4588605
"Trader's Tavern",-4.2377671,55.8545814
"Gullivers Tavern",-1.9025931,50.7688826
"The Lamp Tavern",-2.0904474,52.5066952
"The Cock Tavern",-6.2205031,53.4578825
"The Tavern",-0.2074482,51.5607491
"Seaview Tavern",-7.3315683,55.3672647
"The Tavern",-0.2151355,51.8308076
"The Broomhill Tavern",-1.5004474,53.3768683
"Airfield Tavern",-2.6717253,50.9422657
"The Steamboat Tavern",1.1590417,52.0490694
"Chapelhay Tavern",-2.4557824,50.6059818
"Railway Tavern",-2.4535747,50.6152184
"Railway Tavern",-2.810508,53.5505831
"Railway Tavern",0.425091,51.51474
"Clarkes Tavern",-8.9979463,53.4000621
"Victoria Tavern",-1.149809,52.8944824
"Liskeard Tavern",-4.4495376,50.4481451
"Fishponds Tavern",-2.5189877,51.4801074
"Town Hall Tavern",-2.1592811,53.4065071
"Nelson Tavern",-2.1589618,53.4052162
"The Nags Head Tavern",-3.0246741,51.0020285
"Goldsmiths Tavern",-0.0373787,51.4753954
"Coast Tavern",-6.2380228,53.6785969
"Railway Tavern",-3.1013061,51.608654
"The Tavern",-2.1378155,51.3714753
"Richmond Tavern",1.1843386,51.0823259
"London Road Tavern",-4.2023605,55.8479177
"Coosan Tavern",-7.9374336,53.4314547
"The Sou'Wester Tavern",-4.2588819,55.8534824
"The Railway Tavern",-4.1595261,51.6737372
"The Windmill Tavern",0.5596599,51.6796092
"Harbour Tavern",-4.7871043,50.2697972
"Old Hunters Tavern",-2.0517804,53.48214
"The Spring Tavern",-0.2502981,51.3512513
"St. Jacques Tavern",-2.5503865,49.461479
"Railway Tavern",0.5526909,51.1695948
"5 Arches Tavern",-4.7000496,51.6713396
"Lifeboat Tavern",-4.6980433,51.6715043
"Dan's Tavern",-7.9024705,53.4281006
"Grange Tavern",-8.7846113,51.6041336
"Tap Tavern",-8.5251975,51.7060974
"The Mermaid Tavern",-2.3518176,49.4336155
"Kingswood Tavern",-1.5155659,52.5214631
"Tivoli Tavern",-2.0887352,49.1769078
"Anchor Tavern",-9.451839,51.6796739
"The Broad Street Tavern",-0.8352293,51.4112497
"Old Railway Tavern",0.9698463,52.4703789
"Sneem Tavern",-9.8994755,51.8382446
"Linley Tavern",-2.2905993,53.0923728
"Railway Tavern PH",-1.4970968,51.2072268
"Cooney's The Quilty Tavern",-9.4559612,52.8170783
"The Enigma Tavern",-0.7334969,51.9967276
"Cwmanne Tavern",-4.0706524,52.1061734
"Forces Tavern",-3.6772711,50.3631506
"Perrys Village Tavern",-8.6046017,54.0516655
"The Tavern",-2.5861644,53.3897127
"The Victoria Tavern",0.0509437,51.6487919
"London Tavern",-1.7688275,50.8543576
"tullygally Tavern",-6.3612451,54.4515976
"Catford Bridge Tavern",-0.0236405,51.4448184
"Leo's Tavern",-8.2713881,55.0276982
"Rhinsdale Tavern",-4.1084273,55.8514806
"The Virgin Tavern",-2.190101,52.20009
"Station Tavern",-2.9640904,53.7391377
"The Glen Tavern",-8.6306914,52.6611691
