PubName,Longitude,Latitude
"Queen Victoria",0.0616595,51.488072
"Queens Arms",-2.9720853,53.4364191
"Queen's Head",-1.4760782,53.0279515
"The Queens Arms",-2.2873965,53.7007225
"Queen Adelaide",-0.904791,52.262482
"Queens Head",-2.7868488,55.4224312
"The Queen Inn",-1.3178686,51.0545836
"The Queen's Head",-0.158713,51.3863756
"Queens Head",-1.2574208,52.9975503
"The Queen's Arms",-0.1492878,51.4681943
"The Queen Anne",-2.4640067,53.5680004
"King & Queen",-0.1370607,50.82468
"Queen's Hotel",-3.035487,53.8269218
"The Queens",-2.0969228,53.6436448
"Queens Head",-1.5074072,55.1865803
"Queen's Arms",-5.683896,50.1367549
"The Queen's Head",-0.1181488,51.5284524
"The Queen",0.2492572,51.4018904
"Queen's Head",-1.2553351,53.0096169
"The Queen's Head",0.9518332,51.2961504
"Queens Head (Closed)",0.7141493,51.8735448
"The Queens",-2.1096542,53.4198576
"The Queens Head",-2.7721507,54.6328187
"The Queens Arms",-2.5073468,52.1892988
"The Queen",-0.4852388,52.1360386
"Queens Head",-1.665088,52.608571
"Queens Arms",-2.4321579,53.5046157
"Queensfield",-1.7735875,51.5934722
"Queen's Hotel",-2.0990122,53.7137618
"Queen's Head",-2.9823489,52.8350448
"The Queens",-2.076269,53.4516935
"The Queen Victoria",-2.5863688,51.4849927
"The Queens Head",-2.6197557,51.4109672
"The Queen's Head",-2.5140353,51.451217
"Queen Victoria Pub",-1.3240808,54.5575795
"Queen's Head",-0.6818282,51.4906564
"Queen Victoria",0.0998103,51.6721989
"Queen's Arms",-2.1093053,54.9924285
"The Queens Hotel",-2.454594,50.6147415
"Queen's Hotel",-3.9369192,51.6175969
"The Queen Victoria",-2.2170578,51.7466325
"The Queen Victoria",-0.8361113,51.4976607
"Queen's Head",-1.3053473,53.7237263
"The Queens",-2.6894886,53.6979895
"Queens Park Cafe",-4.2660144,55.834108
"The Queens",-2.1829061,53.8524949
"Queens Arms Oxton",-3.0455946,53.3785448
"Queens Head",-4.7925196,50.3385561
"Queens Head",-3.7762162,53.3071138
"The Queens Head",-0.8386165,51.4124336
"The Queen's Head",-0.3349858,51.2272814
"Queens Arms",-2.7174408,52.0559066
"The Queens Head",-0.3041546,51.7813636
"Queens Head",1.4160139,52.4504327
"The Queen Vic",-2.1166277,57.1497914
"Ember Inns at the Queens Head",0.0899149,51.352252
"The Famous King & Queen",-2.5686871,53.3990182
"The King & Queen",-1.3135638,50.8585784
"The Queens Head",-2.4748441,52.7284417
"The Queen's Head",-1.991906,55.0317747
"The Queen Adelaide",-0.2373353,51.5065531
"The Queen Inn",-0.2089577,52.9046315
"The Queens",0.0355965,51.5345169
"Queen's Arms",-3.2005421,55.9536518
"Queen's Royal Hotel",-3.0433634,53.4399086
"Old Queens Head",-0.6952201,51.6351517
"Queens Bar",-1.5478188,53.7958701
"The Queens Head",0.8192838,51.6263313
