Latitude,Longitude
51.5191568,-0.1477315
51.5282114,-0.0373585
51.5061103,-0.1146803
51.5050525,-0.1159529
51.5048653,-0.1153947
51.5039656,-0.1138685
51.5037891,-0.1130378
51.5231184,-0.0830162
51.5171483,-0.183437
51.5160924,-0.1873559
51.5123676,-0.1909585
51.5235075,-0.030578
51.5163385,-0.0291714
51.5112255,-0.0929962
51.5200283,-0.0841191
51.5116251,-0.0689861
51.5026381,-0.022711
51.5036934,-0.0201829
51.5033894,-0.0161539
51.5029369,-0.0177231
51.5140659,-0.1111696
51.5175429,-0.1079487
51.5209178,-0.0513299
51.5256907,-0.0552406
51.5225567,-0.0548061
51.5340906,-0.0373181
51.5289931,-0.0558838
51.535155,-0.0334074
51.5325055,-0.0329675
51.5333164,-0.0281583
51.5305085,-0.0254478
51.5294286,-0.0276004
51.5155893,-0.0131656
51.5288353,-0.0477617
51.5260212,-0.0358303
51.5111534,-0.1074473
51.4999231,-0.1745879
51.5286785,-0.087401
51.511245,-0.0140482
51.5033867,-0.0200424
51.4961377,-0.0193602
51.4944229,-0.0143504
51.4908014,-0.0146604
51.5142071,-0.0336205
51.5110823,-0.0573639
51.6647702,0.0791775
51.5192035,-0.0213794
51.5088987,-0.0124099
51.5390429,-0.1416753
51.5092948,-0.0258733
51.497923,-0.135183
51.4875421,-0.1168604
51.5162462,-0.1552148
51.487177,-0.0086532
51.530358,-0.1001801
51.5311253,-0.0859581
51.5309375,-0.085553
51.5037303,-0.2159374
51.5179173,-0.0679003
51.5070779,-0.0668997
51.3180307,-0.5568819
51.4960545,-0.104211
51.4969165,-0.1738771
51.5017347,-0.1003088
51.4608649,-0.1874224
51.4592682,-0.1808453
51.506845,-0.123959
