PubName,Longitude,Latitude
"The Old Waggon & Horses",-1.3230711,51.4013235
"The Old Bank of England",-0.11139,51.5138847
"The Famous Old George",-3.0707335,50.7048032
"Old White Swan",-1.3446011,52.6293139
"Ye Olde Red Lion Hotel",-1.4013074,52.6248448
"The Old Black Horse",-1.4012292,52.6238613
"The Old Furnace",-2.0537772,52.4727801
"The Old Vic",-1.0944956,50.7949557
"The Old School Inn",-0.8292,53.5280583
"Old Oyster House",-1.0412825,50.7947231
"Old House at Home",-1.0518922,50.7937245
"Old Canal Inn",-1.0502494,50.7918199
"Old Market Inn",-4.2262944,57.4789215
"Ye Olde Eglantine Inn",-5.9379612,54.5809399
"Old Ale House",-1.7978708,51.0674465
"Old House at Home",-1.7135497,53.7248917
"The Old Polegate Station",0.2509433,50.8212353
"Ye Olde Swan",-0.7235742,52.0291073
"The Old Tea Warehouse",-0.0789666,51.5135603
"The Old Ford",-0.7311899,51.275608
"The Old Hop Pole",-2.0029993,52.5236756
"Old Bowling Green",-1.6401673,53.1413609
"The Old Inn",-2.8098908,51.3696715
"The Old Masons Arms",-1.4502045,53.7505069
"The Old Swan",-1.5424774,52.5760147
"The Old Board Inn",-2.1991038,54.3042511
"Disney's Olde Thatched Inn",-4.1094304,51.2064445
"Ye Olde Punch Bowl Inn",-1.3627531,54.0608508
"The Old Volunteer",-1.0849473,52.9679429
"Old Town Inn",-6.2994216,49.9139696
"The Old Drum",-0.9384722,51.0049669
"The Old Lantern Inn",1.3435514,51.1745073
"The Old Cage",-0.0199134,51.1749784
"Old Crown Inn",-2.2519814,51.7419863
"The Old Golden Fleece",-1.5876492,53.7618061
"Old General (closed)",-1.173681,52.9691738
"Ye Olde Black Boy",-0.3314425,53.7427657
"The Old Chequers",-1.2569136,51.4018592
"The Old Garage",-0.2051067,51.4446475
"Olde Queens Head",-2.0494666,52.4486846
"Old White Hart",-0.8962002,52.2294527
"The Old Horns Inn",-1.5980418,53.4285019
"Old King's Head PH",-2.8905982,53.1873689
"The Old Frizzle",-0.2021156,51.419677
"Old Crown",-2.1372142,52.474517
"The Old Road Tavern",-2.1171293,51.4629731
"Old Lane",-2.1023202,51.4475365
"Old Ship Inn",-0.8636543,51.6263309
"Old Griffin Head",-1.6237866,53.757843
"Old Brickwords",-1.6435713,53.7502955
"The Old Passage Inn",-2.4429232,51.8000071
"The Old Foundry Vaults",-4.3120677,53.2558906
"The Old Forge",-7.3495032,52.9140556
"The Old Hall",1.7253221,52.6483881
"The Old White Horse (closed)",-0.9079219,51.5432554
"The Old City Arms",-0.2289403,51.4895303
"Ye Olde Crown Inn",-2.2818621,52.3382299
"Old Bush",-2.202531,52.5131617
"The Old Spot",-1.1383458,52.9997558
"The Old Bell",-0.9046565,51.5381133
"The Old Swan",-0.7537877,51.9920168
"The Old Reindeer",-1.0091974,53.0972008
"Old Coppers Malt House",-2.8075746,52.5392601
"The Old Ship Inn",-2.438609,50.7150667
"The Wise Old Owl",-0.3318843,51.1157044
"The Old Ship",-1.0042919,53.0116033
"The Old Wainhouse Inn",-4.5780675,50.7301633
"The Old Inn",-4.6884742,50.5641861
"Old Roan",-2.9507117,53.4862213
"Old Brewery Tavern",1.078182,51.2789415
"Old Post Office",-2.9829363,53.4044459
"The Old Oak",0.211542,50.8488488
"Old Smugglers Inn",-3.8718468,54.8437237
"Old Royal Oak",-2.0202262,53.1073221
"Ye Olde New Inn",-2.3587134,52.4107905
"Ye Olde Six Bells",-0.1763045,51.1699842
"The Old Shawbirch",-2.4472234,52.716549
"Old Swan Inn",-2.1038636,53.9843412
"The Old Stand",-6.2621871,53.343106
"Ye Olde Crowne",-0.5385319,53.2304353
"Old Tigers Head",0.0113655,51.4567519
"Ye Olde Cross Keys Inn",1.6020236,52.1527705
"Ye Olde Cheshire Cheese",-1.8675511,53.1811993
"The Old Thatch Inn",-3.7380376,50.7234135
"The Old Inn",-2.8417937,51.4397305
"The Olde Bristol Inn",-2.8517622,51.4370524
"The Old Coffee house",-0.1373787,51.5125323
"Old Goole WMC",-0.8677469,53.6939951
"Ye Olde Starre Inne",-1.0831845,53.9610862
"Old Coach House",-0.9450043,53.0758867
"The Old White Hart",-0.9636507,51.2821992
"The Olde Gate",-1.6582226,53.0847592
"Ye Olde Rock Inn",-1.9816809,53.1460339
"Old Spot",-2.3573934,51.680991
"The Old Ham Tree Inn",-2.2041171,51.3543094
"Old Grey Mare",-0.3680396,53.7687801
"Old House at Home",-1.967472,52.6322501
"The Old Sun",-0.2896672,52.216625
"Old Victoria",-2.1651622,53.4042416
"Ye Olde Murenger House",-2.9973446,51.5893428
"The Old New Inn",-1.4621323,52.2349008
"The Old Wick",0.1537347,51.438155
"The Old House at Home",-1.2609636,51.244684
"Ye Olde Bulls Head",-3.5992392,52.9097482
"Ye Olde Globe",-4.0629581,51.2008133
"The Old Beams",-1.7882982,50.8842387
"Old Pear Tree",-1.1814165,52.9866225
"Ye Olde Black bear",-2.3628011,53.1439657
"Old Inn",-5.243129,50.0279576
"The Olde Bull Inn",-2.953816,51.6097753
"Ye Olde Oak",-3.0496571,51.5932347
"The Old Town Hall",-0.4722408,51.7593227
"Old Comrades",-3.0080774,53.9240468
"Old House At Home",0.00334840000001,51.1618978
"The Old Priory House",-2.0832473,52.5115885
"The Old Bear",-1.8560028,51.6414714
"The Old Blue Bell",-1.2650323,53.1261746
"Ye Olde Forge",-2.0829975,52.5090362
"Ye Olde Stout House",-0.3274013,51.0625632
"The Old Eagles",-2.6835149,52.9680718
"Ye Olde Royal Oak",-3.2353402,51.6385687
"Ye Olde George",-0.522189,51.4836526
"Ye Olde Bridge Inn",-1.0653788,53.053037
"The Old Ship",0.7093092,51.7291907
"The Old Vaults Inn",-2.9917432,53.0457226
"Old City Bar",1.0850135,51.2750486
"The Old Bush",-1.9675552,52.6213944
"Ye Olde Leathern Bottel",-2.0115066,52.5578555
"The Old Library",-3.1773984,51.4801885
"The Old Courthouse",-1.4788272,53.5546585
"The Old Bull",-1.9794175,52.2136693
"Old Glen House",-1.7987563,53.8459048
"The Old Oak",0.7435958,51.3386555
"Old Inn",-3.0326644,50.7788878
"The Old Customs House",-1.1063644,50.7950971
"The Old Bank",-3.23035,54.1133319
"The Old Mill",-8.5014709,52.7527584
"Old Ash Tree",-2.1232578,52.5677863
"The Old Fox",-0.4428331,51.5651752
"Ye Olde Royal Oak",-1.8382185,53.0953628
"The Old Nick",-1.9040324,51.541003
"Old Jug and Glass (closed)",-1.0640556,53.1942267
"Old Grey Mare",-1.0962258,53.9690001
"Old Justice",-0.0643476,51.5002596
"Old House at Home",-0.8843034,50.8301249
"The Old Swan",-0.6605037,51.8444261
"The Old Swan",-2.3259978,53.0079527
"The Old Ship",-1.1972982,50.7965103
"Ye Olde Bucks Head Inn",-2.7618966,52.7116079
"Ye Olde Black Cross",-2.0648866,52.3319639
"The Old School House",-2.1007929,57.1469816
"The Famous Old Barrel",-3.4109085,50.6195878
"Ye Olde Hobnails Inn",-2.0149612,51.9973155
"The Old Bell",0.7316311,50.9507345
"Old Barn",-1.7706363,53.8181449
"Old Farmhouse",-1.5025682,50.9172494
"The Old Thatch",-7.9925414,51.9426087
"Ye Old Bowling Green Inn",-1.7455066,53.3307578
"Old Swan",-2.9944847,53.0451704
"Olde Barn",-0.2664201,53.3996207
"Oldfellows Arms",-1.303966,54.5403555
"Olde Fleece Inn",-2.7476415,54.3274956
"The Old Crown Coaching Inn",-1.5839517,51.6583642
"Old Suffolk Punch",-0.2229529,51.4887915
"The Old White Hart",-0.7105072,52.5645686
"The Old Palace Pub",-0.4580716,51.7121047
"The Old George",-0.8714335,53.7034141
"The Old Rydon Inn",-3.5931005,50.554101
"Old Ship Inn",-2.4684872,50.6633415
"The Old Inn",-1.7190567,50.9813081
"The Old Quay House",-3.059599,53.2213727
"The Old Bull's Head",-1.2175912,52.7284916
"The Old Pandy",-2.9673399,51.8979619
"Ye Olde Smack",0.6502763,51.5401099
"Ye Olde Park Gate Inn",-2.321796,53.261879
"The Old Vine",0.3554914,51.0759252
"The Old New Inn",-1.7553471,51.8832698
"Old Nelson",-2.2215453,51.748249
"The Olde Boot Inn",-2.8908702,53.1906227
"The Old Chequers",-2.1180237,52.2066716
"Ye Olde Nag's Head Hotel",-1.7754817,53.3430352
"The Olde Tollhouse",-6.6352029,53.0373344
"Old Black Horse",-3.0257195,53.0320006
"Ye Olde Butchers Arms",-1.8804187,53.1507253
"Nell Of Old Drury",-0.1205036,51.5125525
"The Old Forge",-5.682748,57.0374117
"The Old Mitre",-2.0457877,52.6285585
"Old Hall Farm",-2.8810316,53.2611953
"Old Victoria British Queen",-2.4303439,53.5903245
"The Old Waggon and Horses",-2.3025217,52.3799512
"Ye Olde Talbot",-2.2191352,52.1890469
"Old Wirral Hundred",-2.9296789,53.261531
"The Old Snare and Gin Trap",-3.7703941,50.9994171
"Ye Olde Mailcoach",-3.8295756,53.2812416
"Ye Olde Man & Scythe",-2.4261394,53.5795277
"Old Pack Horse",-2.1148994,53.4675426
"The Old Vine",-1.3155162,51.061907
"Ye Olde Fat Ox Inn",-1.5051531,55.0634719
"The Old Nags Head",-2.4125062,53.4518624
"Old Scalby Mills",-0.4101873,54.3030143
"Old Mendip Inn",-2.5424023,51.2279527
"The Old Brewers",-1.6185676,51.0394643
"The Old Kings Head",-1.0855405,52.3037671
"Ye Olde Pumphouse",0.5894276,50.8562518
"The Old Library",-5.8467774,56.9097174
"The Old Bakery",-1.5819181,52.3499831
"Ye Olde Anchor Inn",-2.2171717,52.0641354
"The Old Ball",-1.6344847,53.8463165
"Oldbury Court Inn",-2.5200291,51.4877345
"Old Bush",-2.0950344,52.568497
"Old Oak Inn",-1.4197515,53.0012792
"Old English Gentleman",-1.3640051,53.0778616
"The Old Forge",-0.192341,51.8838238
"The Old Ship",0.2342338,52.5438499
"The Old Yew Tree Inn",-1.441028,53.0929239
"Ye Olde White Lion",-3.0601866,52.8625344
"Worsley Old Hall",-2.386619,53.5038627
"The Famous Old Globe",-5.0561475,50.263765
"Haworth Old Hall Inn",-1.953541,53.8286634
"The Old Oak Inn",-1.9481015,53.8312532
"Old White Lion",-1.9562232,53.8317281
"Old Point House",-5.0779301,51.6865991
"Old Nells",-2.7482418,53.8503727
"The Old Sargeant",-0.190501,51.45136
"The Old Red Lion",1.2435608,52.8613235
"The Old Bell",-2.1134535,52.4566187
"Ye Olde George Inn",-1.7759425,50.7338891
"The Old Fire Station",-2.5926334,51.4573007
"Old Black Horse",-1.3549581,52.9828463
"Old Bridge Hotel",-1.7868615,53.5704699
"Ye Olde Saltbrook (closed)",-2.1034244,52.4638126
"The Old Bar",-1.5557498,53.8067534
