RestaurantName,Longitude,Latitude
"Gioberti's Pizza Restaurant",0.0270578,51.5770817
"Soham Kebab and Pizza House",0.3386195,52.3314665
"Domino's Pizza - Aldridge",-1.9181029,52.604122
"Pizza Hut",-0.7225284,51.5206226
"Pizza Express",-2.4390183,50.7099811
"Pizza Express",-0.1415885,51.5912181
"Pizza Express",-0.3266931,51.0617007
"Pizza Hut",-1.7792544,51.5584346
"Pizza Express",-2.6023076,51.4499616
"Pizza Express",-1.1388644,52.6362204
"Pizza Express",-2.7962789,56.3397136
"Pizza Express",-0.4747729,51.5449539
"Pizza Express",-2.2944568,53.470441
"Chicken & Pizza Point",-0.0470389,51.6472959
"Pizza Hut",-0.0467322,51.6441252
"Pizza King Kebab House",-0.0564218,51.6285918
"Pizza Express",-2.933211,54.892985
"Pizza Hut",-2.219364,53.4095466
"Pizza Hut",-2.9856796,56.4608216
"Pizza Exspess",0.4739546,51.7310147
"Pizza Express",0.7297718,52.037873
"New Delhi Indian Palace & Ricardo's Pizza",-5.5390862,50.1210435
"Pizza Hut",-1.8936719,52.4774505
"Pizza Express",-0.2133006,51.4601561
