Amenity,AmenityName,Latitude,Longitude
social_facility,"Citizen's Information Centre",53.342243,-6.278947
cafe,"Dave's Cafe Grill & Deli",53.341256,-6.278453
marketplace,"The Liberty market",53.3411716,-6.2785265
pub,"Forum Bar",53.3440629,-6.2685415
pub,"The Workman's Club",53.3453414,-6.2668315
restaurant,"Bottega Toffoli",53.3433502,-6.2692305
restaurant,"The Larder",53.34449,-6.267287
cinema,"Lighthouse",53.3487223,-6.279088
pub,"M. Hughes",53.346917,-6.2723628
school,"D7 Educate Together NS",53.3521027,-6.2787509
bicycle_rental,"Smithfield",53.3474147,-6.2782413
cafe,"Brother Hubbard",53.3471536,-6.2684838
cafe,"Cafe Fifty Three",53.3426803,-6.2785104
parking,"",53.3466036,-6.2806422
cafe,"Internet Cafe",53.3438134,-6.2685331
atm,"",53.3433364,-6.2758252
restaurant,"Silk Road Cafe",53.3422547,-6.26735
restaurant,"Wuff",53.3474932,-6.2824553
post_office,"Ormond Quay Upper Post Office",53.3456854,-6.2716566
pub,"The Garage Bar",53.3451402,-6.2662914
pub,"Hacienda Bar",53.3481928,-6.2702321
pub,"The Legal Eagle",53.345711,-6.2721255
school,"",53.3505414,-6.2754823
doctors,"Parliament Street Medical Practice",53.3446763,-6.2673405
restaurant,"Mezza",53.3448012,-6.2673728
bank,"HSS Credit Union",53.3432178,-6.2728505
post_office,"",53.3451931,-6.27629
fast_food,"The Fryery",53.345591,-6.2782604
veterinary,"Metrovets",53.3411696,-6.278429
library,"Contemporary Music Center",53.344172,-6.2695967
pub,"Bodkin's",53.351328,-6.269929
library,"bolton st library",53.3514719,-6.268848
restaurant,"Nando's",53.3487766,-6.2673259
cafe,"Third Space",53.3477643,-6.2788053
school,"Francis Street C.B.S.",53.3413795,-6.2734054
pub,"Bison bar",53.3453508,-6.2667024
university,"Department of Metal Fabrication and Welding",53.3515772,-6.2708355
school,"",53.3508045,-6.2710002
bus_stop,"",53.3428863,-6.2766212
bus_stop,"",53.3430016,-6.2807597
cafe,"Courts Coffee Shop",53.345123,-6.275612
fast_food,"McDonald's",53.3486145,-6.2664212
pub,"Darkey Kelly's",53.3439563,-6.2699696
bar,"Oscars",53.3488044,-6.2785932
fast_food,"Mirch Masala",53.350553,-6.271204
cafe,"PeacockGreen & Co.",53.34359,-6.269695
public_building,"Social Welfare Local Office",53.3432226,-6.2808268
pub,"Peadar Kearney's",53.344272,-6.265415
restaurant,"Montys of Kathmandu",53.3444553,-6.264744
cafe,"Costa",53.345329,-6.265055
hunting_stand,"A.B.C. Fishing Tackle (Don't fall in - we need the business!)",53.3471727,-6.2700789
pharmacy,"The Temple Bar Pharmacy",53.345553,-6.264362
training,"IBAT College",53.345389,-6.265493
casino,"The Emporium",53.344312,-6.266893
restaurant,"Cleaver East",53.34511,-6.266558
cafe,"Country Cafe",53.345886,-6.269783
cafe,"Boteco Brazil",53.34604,-6.268896
