PubName,Longitude,Latitude
"The Cannon",-0.6895833,52.3044928
"The Rising Sun",-0.6893071,52.3034289
"The Volunteer",-0.6881225,52.3016
"The Prince of Wales",-0.6967323,52.2972714
"The Royal Oak",-1.4837167,51.8346055
"The Tite Inn",-1.5301954,51.9002556
"The Plough",-1.2826822,51.7835152
"Grainstore",-0.7341023,52.6727071
"The Fishermans Rest ",-1.541428,50.7502284
"The Chequers",-1.5451913,50.7413551
"The Kings Head",-1.5379804,50.7590969
"Borough Arms",-1.544788,50.7614289
"The Thomas Tripp",-1.5491497,50.7575005
"The Fusion Inn",-1.5488369,50.7575813
"The White Hart",-1.5521493,50.751816
"The King's Arms",-1.5475385,50.7570119
"The Tollhouse Inn",-1.5525458,50.7668713
"The Rising Sun",-2.3575832,51.3841374
"Bankes Arms",-1.9474763,50.6421197
"The Hop Leaf",-0.9673808,51.447736
"Bunbury Arms",-2.8678491,53.2535153
"Red Lyon",-0.7914396,51.5351777
"The Oxford Yeoman",-1.3999631,51.8109888
"The Good Companions",-0.899508,51.4460592
"The Crown",-1.7490029,52.7336342
"The World Upside Down",-0.968637,51.4296331
"The Retreat",-0.9606513,51.4533928
"The Queen's Head",-0.9564094,51.443092
"The Eldon Arms",-0.9574186,51.4530341
"George and Dragon",-0.5548217,50.8937384
"Black Rabbit",-0.5436729,50.8668628
"The Victoria Arms",-0.3998667,52.1840597
"The Horse and Jockey",-0.4255425,52.1769851
"The Red Lion",-1.1857968,51.8728912
"The Chequers",-1.2220686,51.8570925
"The White Horse",-2.7947993,53.210279
"Stamford Bridge PH",-2.7988064,53.2010611
"The Gordon Arms",-0.4538951,52.1371808
"The Horn",-0.9741329,51.4537957
"The Red Lion",-0.971126,51.4509994
"The Allied Arms",-0.974434,51.4547868
"The White Horse",-0.500006,51.6569454
"The Boot and Slipper",-0.6083572,51.680216
"Wild Rover",-0.6109386,51.701064
"Halfway House",-0.5347791,51.7249071
"Fishery Inn",-0.4910589,51.7442932
"The Golden Bale",-0.560055,51.835336
"The Red Lion",-0.564136,51.8374445
"The Bell",-0.5918905,51.8622452
"The Swan",-0.6055622,51.869038
"The Sun",-0.6585445,51.91447
"The Inn at Woburn",-0.6188584,51.9885278
"Pavlov's Dog",-0.9747363,51.4544299
"The Bugle",-0.9727493,51.4566581
"The Red Lion",-0.1752892,50.8255414
"The Gate",-0.4369862,52.113316
"The Monkey Puzzle",-0.1697626,51.5163946
"Prince Of Wales",-1.2371531,51.730229
"The Gateway",-0.9756721,51.4580006
"The Holly Bush",-0.4051648,51.7927601
"The Harrow",-1.4555142,51.918508
"The Crown Inn",-1.4507041,51.922422
"Vale Royal Abbey Arms",-2.65484,53.212662
"The Royal Stag",-0.4618146,51.7648268
"Dogma",-0.9743392,51.4534816
"The Sun",-0.9749516,51.4535839
"The Crown",-0.9767716,51.4666616
"The Pear Tree",-0.1837983,51.8927158
"The Red Lion",-0.4498307,52.0815359
"The Wool Pack",-0.448865,52.0811531
"The Bell",-0.4173239,52.0958189
"The Pelican",-2.610117,51.3657103
"Coreys Mill",-0.2162719,51.9236227
"Coach and Horses",-0.2063066,51.9081603
"Reading International Solidarity Centre",-0.9680768,51.4528091
"Great Expectations",-0.9681175,51.4529322
"Red Lion PH",-2.9563016,53.1432711
"The Royal Oak",-3.0005266,53.1474048
"The Swan",-3.0061637,53.1420939
"The Turks",-0.9656239,51.4508224
"The Fruit Bat",-0.9509973,51.4494751
"The Punter",-1.2727276,51.7503881
"The Plowden Arms",-0.8994137,51.4990692
"The Three Horseshoes",-0.900619,51.531283
"The Dog and Badger",-0.8407498,51.5537692
"The Hare and Hounds",-0.7920777,51.5648807
"White Lion PH",-2.7553258,53.2608363
"The Horse and Jockey",-2.7613396,53.277851
"The Hand & Flowers",-0.7832795,51.5699175
"The Ship",-0.7777005,51.5711605
"The Carpenters Arms",-0.7768463,51.5724036
"The Plow (no longer open)",-0.7725868,51.575051
"The Britannia",-0.7667961,51.5787495
"The Kings Head",-0.7420702,51.5856104
"The Black Lion",-0.7193971,51.5847548
"Foresters Arms",-0.9894817,51.4507202
"Rose and Crown",-1.571517,50.8202163
"The Royal Oak",-1.4316656,50.8265218
"The Langley Tavern",-1.3681068,50.807426
"The Bridge",-1.3985608,50.8258537
"The Old Bell",-0.6897139,51.5810465
"The Red Cow",-0.6821716,51.5882428
"Harvester",-0.6697627,51.5997963
"Brass Monkey",-6.3341147,54.1789449
"The Black Boy",-1.3073601,51.0578146
"The Cheshire Cheese",-2.730951,53.2941423
"The Red Lion",-0.6547604,51.6224751
"The Queen Elizabeth",-0.9856202,51.456298
"The Hope Tap",-0.9756157,51.4564905
"The Alehouse",-0.9702713,51.4552891
"The Green Man",-0.4331518,51.7484369
"The Leather Bottle",-0.4314587,51.7478292
"The Golden Eagle",-0.5869652,51.739167
"The Crown",-0.3231293,51.7512271
"Bedford Arms",-0.5285889,52.1712305
"Bull's Head PH",-2.7203044,53.2895059
"Ring o' Bells PH",-2.7200872,53.2900333
"William IV",-1.7471828,52.7332323
"The Holly Bush",-1.2738734,51.7521995
"The Travellers Rest",-2.7068685,53.2811793
"The Fishes",-1.2827767,51.7452182
"Railway Inn",-2.7670775,53.2758082
"Farmers Arms PH, Kelsall",-2.7012636,53.2130746
"Oak and Saw",-0.6872529,51.5310926
"The Marjors Arms",-2.7214673,53.3737836
"The Millfield",-2.721184,53.3738195
"The Horn",-0.3290385,51.7502831
"The Robin Hood",-0.3307385,51.7505791
